name,x,y,z,magnitude,color
Alpha Centauri A,-2.22,-3.69,1.91,0.01,#ffdd88
Alpha Centauri B,-2.22,-3.69,1.91,1.34,#ffaa44
Proxima Centauri,-2.99,-1.83,-2.48,11.09,#ff8866
Barnard's Star,5.92,-0.65,0.27,9.53,#ff7744
Wolf 359,-1.55,-7.40,-2.04,13.44,#ff5533
Lalande 21185,-5.25,-5.82,-2.91,7.47,#ffaa55
Sirius A,-8.65,-1.40,6.65,-1.46,#aaccff
Sirius B,-8.65,-1.40,6.65,8.44,#8899bb
Luyten 726-8 A,1.50,-8.63,-0.13,12.54,#ff5533
Luyten 726-8 B,1.50,-8.63,-0.13,12.99,#ff4422
Ross 154,-9.41,0.91,-2.30,10.43,#ff6633
Ross 248,2.99,0.98,9.80,12.29,#ff5533
Epsilon Eridani,8.44,-6.11,1.09,3.73,#ffcc66
Lacaille 9352,8.39,-5.87,-3.59,7.34,#ffaa55
Ross 128,-2.12,0.93,10.77,11.13,#ff6633
EZ Aquarii A,-9.78,-3.98,-3.52,13.33,#ff4422
EZ Aquarii B,-9.78,-3.98,-3.52,13.27,#ff4422
EZ Aquarii C,-9.78,-3.98,-3.52,14.03,#ff3311
61 Cygni A,-2.97,2.02,10.89,5.21,#ffbb77
61 Cygni B,-2.97,2.02,10.89,6.03,#ffaa66
Procyon A,-9.37,-3.63,5.91,0.38,#fff0d0
Procyon B,-9.37,-3.63,5.91,10.70,#8899bb
Struve 2398 A,-5.33,8.99,-5.43,8.90,#ff8844
Struve 2398 B,-5.33,8.99,-5.43,9.69,#ff7744
Groombridge 34 A,-8.43,-6.93,4.16,8.08,#ffaa55
Groombridge 34 B,-8.43,-6.93,4.16,11.06,#ff6633
DX Cancri,-5.02,-10.48,1.73,14.78,#ff4422
Epsilon Indi A,10.50,-4.86,2.96,4.69,#ffcc66
Epsilon Indi Ba,10.50,-4.86,2.96,12.30,#ff5533
Epsilon Indi Bb,10.50,-4.86,2.96,13.20,#ff4422
Tau Ceti,8.18,-6.79,4.68,3.49,#ffdd88
GJ 1061,-7.80,-8.33,-4.70,13.09,#ff5533
YZ Ceti,-10.96,-4.81,-2.03,12.02,#ff6633
Luyten's Star,-10.73,-6.10,-0.60,9.86,#ff8844
Teegarden's Star,-6.79,-5.99,8.69,15.14,#ff4422
Kapteyn's Star,11.09,-6.24,0.35,8.84,#ff8844
Lacaille 8760,10.73,-5.92,-4.51,6.67,#ffbb77
